"country","NetflixSubscribers_2024","NetflixSubscribers_PerCapita_2024"
"India",5500000,379.0646063930969
"United States",66700000,19309.43441016481
"Indonesia",4000000,1410.9944689016818
"Pakistan",300000,119.3939562779332
"Nigeria",25000,10.74441612693883
"Brazil",15300000,7217.015174599881
"Bangladesh",200000,115.23259699703853
"Ethiopia",10000,7.572315614114796
"Mexico",10000000,7641.6961508776485
"Japan",7000000,5656.428531025511
"Egypt",100000,85.8089206953955
"Philippines",400000,345.29194433893855
"DR Congo",10000,9.151140232072917
"Vietnam",700000,693.1516615835544
"Iran",5000,5.460440744935169
"Turkey",2600000,2972.3185685313774
"Germany",13200000,15611.657650540139
"Thailand",1500000,2092.9843165708544
"United Kingdom",14100000,20393.93562458959
"Tanzania",10000,14.58572174526912
"France",10100000,15176.90105712375
"South Africa",100000,156.23242385231663
"Italy",4100000,6908.998380598185
"Kenya",10000,17.72015969407916
"Myanmar",10000,18.348590186073054
"Colombia",2500000,4727.113208688812
"South Korea",5000000,9667.888687796803
"Uganda",10000,19.993961823529297
"Spain",5100000,10644.848206551798
"Algeria",10000,21.360994397011172
"Argentina",5000000,10941.82886104315
"Yemen",10000,24.640738039385756
"Canada",6700000,16858.569185554974
"Poland",2000000,5189.521318553576
"Morocco",10000,26.259676690860584
"Angola",10000,26.39511373654509
"Ukraine",10000,26.412961368402705
"Malaysia",1000000,2812.3303813238763
"Ghana",10000,29.046631462149332
"Peru",1500000,4383.683346094723
"Saudi Arabia",200000,588.8795976774588
"Nepal",1000,3.372556161491479
"Cameroon",10000,34.33629655572609
"Venezuela",300000,1056.1334952738025
"Niger",10000,36.99264586200264
"Australia",6500000,24332.539718191758
"Taiwan",1000000,4307.745326096321
"Sri Lanka",50000,216.41648920514552
"Chile",1500000,7589.249575002024
"Romania",1000000,5258.978390857792
"Somalia",1000,5.2606106516844475
"Guatemala",250000,1358.2232267037552
"Netherlands",3200000,17554.73511550467
"Ecuador",500000,2757.0235174106033
"Cambodia",10000,56.693199083837904
"Bolivia",300000,2416.7626658503377
"Tunisia",10000,81.4524602715625
"Haiti",100000,849.4300324482273
"Belgium",1700000,14481.889119841893
"Jordan",10000,86.55835331388656
"Dominican Republic",500000,4375.371906612062
"United Arab Emirates",250000,2267.141859600439
"Cuba",10000,91.07634018834587
"Honduras",200000,1847.4555917862124
"Czech Republic",500000,4657.271397833438
"Sweden",1800000,16969.925520882436
"Papua New Guinea",10000,94.54923651491514
"Portugal",800000,7673.640087095815
"Azerbaijan",20000,193.48722016910784
"Greece",500000,4976.21369852107
"Hungary",500000,5167.349790308946
"Israel",1000000,10653.008089894343
"Austria",1300000,14253.12006280144
"Switzerland",1500000,16812.4115947357
"Laos",10000,128.70311023936205
"Hong Kong",700000,9440.438252116344
"Libya",10000,135.48262977203694
"Paraguay",500000,7215.892281160028
"Nicaragua",150000,2168.8398441905456
"Bulgaria",200000,2959.5912212605194
"Serbia",200000,2969.0241708257745
"El Salvador",150000,2366.6062393206894
"Denmark",1100000,18402.619194601004
"Singapore",1000000,17145.629836139215
"Lebanon",10000,172.23680493837367
"Finland",1000000,17802.115247333688
"Norway",1400000,25104.632521975516
"Slovakia",250000,4539.874626822306
"Oman",50000,946.6935780094442
"Ireland",1300000,24738.250282586934
"New Zealand",1000000,19179.35380921146
"Costa Rica",400000,7797.407751792916
"Kuwait",100000,2026.543668976251
"Panama",300000,6643.6648226805855
"Croatia",200000,5160.864135090779
"Georgia",20000,525.2556025075702
"Mongolia",10000,287.725072938306
"Uruguay",300000,8858.468252726194
"Bosnia and Herzegovina",10000,316.0306549735324
"Qatar",100000,3280.387873062111
"Moldova",10000,329.4936341829876
"Lithuania",100000,3497.5919079713617
"Jamaica",150000,5283.215576328377
"Albania",20000,716.3939593661346
"Botswana",25000,991.6149043686587
"Slovenia",150000,7079.813092934346
"Latvia",100000,5342.251331556145
"North Macedonia",50000,2742.7167157612957
"Bahrain",15000,933.3872623751594
"Estonia",50000,3674.9843813163798
"Cyprus",50000,3681.126130105722
"Mauritius",5000,393.3384205102386
"Guyana",5000,601.621731539538
"Bhutan",1000,126.33855701153723
"Montenegro",20000,3132.4444500132345
"Suriname",5000,788.1077690087654
"Malta",5000,926.6002850222476
"Belize",15000,3596.5013235124866
"Bahamas",35000,8722.024107674633
"Iceland",75000,19064.759173962113